0 -7596.0151367188 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 24_1 .4811024051115075905630601492981463149921
.2426757813 -7595.7724609375 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 27 24_55 .0008958953388909809353254655108195261444
.2431640626 -7595.7719726562 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 38 46 24_56 .0008846354900016281410826847320428299865
.2446289063 -7595.7705078125 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 35 24_57 .0008516979561227497484049645989246335597
.2456054688 -7595.7695312500 1 2 3 4 5 6 7 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 48 24_58 .0008304237644966560926099002683760483212
.2460937500 -7595.7690429688 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 34 48 24_59 .0008199867817448001113775071030906220058
.2465820313 -7595.7685546875 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 36 24_60 .0008096809716206593835822660850997789958
.2485351563 -7595.7666015625 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 34 46 24_61 .0007697368193638004048333952000348021279
.2490234376 -7595.7661132812 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 28 34 24_62 .0007600625640190450966883923024121268828
.2509765626 -7595.7641601562 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 28 34 24_63 .0007225662465235917906567959742880306638
.2519531250 -7595.7631835938 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 20 21 22 23 24 28 32 24_64 .0007045175813526663279639990658939009986
.2524414063 -7595.7626953125 1 2 3 4 5 6 7 8 9 11 12 14 15 16 17 18 19 20 21 22 23 24 33 37 24_65 .0006956630185911910693377119164469622614
.2543945313 -7595.7607421875 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 27 30 24_66 .0006613437366665426634916766186248218953
.2578125000 -7595.7573242188 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 20 21 22 23 24 25 36 24_67 .0006053085653147583251282694268185382914
.2583007813 -7595.7568359375 1 2 3 4 5 6 7 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 35 37 24_68 .0005977008876307643728560137337205112397
.2612304688 -7595.7539062500 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 40 24_69 .0005540212116336627736451580092670665535
.2617187500 -7595.7534179688 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 24 30 35 24_70 .0005470581283535404662053042095358732997
.2641601563 -7595.7509765625 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 28 24_71 .0005135336240786154990432921024635919501
.2646484376 -7595.7504882812 1 2 3 4 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 37 24_72 .0005070793980594414582623762019390171801
.2651367188 -7595.7500000000 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 29 24_73 .0005007062917519939973245814999501317797
.2661132813 -7595.7490234375 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 24 27 42 24_74 .0004881993677626314399727139632989502577
.2666015626 -7595.7485351562 1 2 3 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 34 35 24_75 .0004820635493581183173245315943649859618
.2680664063 -7595.7470703125 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 34 37 24_76 .0004641149313474095615173228955797491877
.2700195313 -7595.7451171875 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 28 35 24_77 .0004412186572194459042944749002244602858
